headline,emotion_huggingface
Why It’s Necessary To Relax Into A Stretch,neutral
"Brexit Encourages UK to Trade With Non-EU States, Including Russia",neutral
"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",neutral
Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,neutral
First Ever Hindu Woman Elected into Congress,neutral
Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,disgust
Ex-Assistant FBI Director: Clintons Are a Crime Family,fear
Hillary Wants Aggressively Interventionist Foreign Policy,anger
Both parties want to craft populist messages for 2016,neutral
First Take: Wall Street bids goodbye to June hike,sadness
Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,surprise
Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,anger
"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",fear
220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,fear
Obama makes the right call to tough it out in Afghanistan,neutral
Senate race rankings: Dems attack as GOP lays swing-state groundwork,anger
‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,surprise
Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,fear
American politics has reached peak polarization,neutral
Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),anger
"3 Effects of Substance Abuse on Individual, Family and Community",disgust
Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,neutral
New Comment Features have been Added,neutral
World's newspapers react to 'Hebdo' attack,fear
Ying and Yang (the Gold and Silver Set-Up),neutral
"Closed primaries, 'warped' democracy?",neutral
Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,anger
Donald Trump: Hillary Clinton has 'caused tremendous death',fear
Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,fear
Biden makes another surprise political stop,surprise
"Hillary Clinton's declining favorability numbers, in context",neutral
Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,neutral
Hillary Clinton: The criminal investigation keeps moving forward,neutral
Rubio’s parting shot at Trump,anger
Loretta Lynch becomes first African-American woman AG.,neutral
Why it's funny Republicans are upset with Facebook: Column,surprise
FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,fear
Is google and YouTube in the Hillary's purse?,neutral
Handicapping the Hispanic vote for 2016 GOPers,neutral
Truth Will Out Radio: The Laconia Incident,neutral
GOP establishment nightmare? Ted Cruz vs. Donald Trump,fear
Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,sadness
Should I Get Botox?,sadness
Jeb Bush Picks Up Endorsement From Lindsey Graham,neutral
"2016 Republican race enters a new, volatile phase",fear
"‘Hands up, don’t shoot’ was built on a lie",anger
Lavrov and Kerry discuss Syrian settlement,neutral
BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,neutral
Bernie Sanders' call for ouster of two convention co-chairs rejected,anger
Five Reasons the New York Democratic Primary Felt Competitive,neutral
"To get around Congress, Obama turns to city halls",neutral
Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,neutral
John Kerry: ISIS responsible for genocide,disgust
Mitt Romney's Re-Invention As Anti-Poverty Warrior,neutral
King: Fill the Supreme Court vacancy,neutral
"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",neutral
Obama’s speech in Selma was an answer to those who question his love for America,neutral
Where Does Bernie Sanders Go From Here?,neutral
Exclusive: GOP campaigns plot revolt against RNC,fear
Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,neutral
Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],anger
"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",neutral
French police hunt two brothers accused of Charlie Hebdo terror attack,fear
"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",neutral
CNN: One voter can make a difference by voting repeatedly,neutral
Give Social Security recipients a CEO-style raise,neutral
"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",anger
"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",sadness
How Ted Cruz Became Ted Cruz,neutral
Newly Approved GM Potatoes Have Potential to Silence Human Genes,neutral
Accord reached after Sanders sues the DNC over suspended access to critical voter list,anger
Why the latest Patriot Act reform won’t be enough to rein in the NSA,neutral
"FBI expands probe of Clinton emails, launches independent classification review",fear
Where is Gary Johnson?,neutral
"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",neutral
Nuclear weapons question,neutral
Kevin MacDonald celebrates Trump’s Amazing Victory,joy
"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",neutral
What happens if Clinton drops out?,fear
Brothers ID'd as suicide bombers in Belgium,neutral
Glorifying Violence,joy
Russia may run out of patience and respond to USA's rudeness,neutral
The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,fear
Don't blame all immigrants for San Francisco shooting,anger
Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,anger
APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,fear
"Geo-Engineering Unlikely to Work, Conservation Group Says",neutral
3 Questions Ahead Of Tonight's Democratic Debate,neutral
Obama's terror strategy is failing: US must heed lessons of 9/11,fear
“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,neutral
Selma 50 years on: John Lewis's recalls the march,neutral
“We Were Long Overdue A Presidential Assassination Anyway”,neutral
"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",fear
Third-party presidential candidates fight for 15% in polls – and a spot in debates,neutral
"Bush, Rubio and Kasich eye one another in the shadow of Trump",fear
Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,fear
"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US",neutral
Monsieur Malbrough est Mort | New Eastern Outlook,neutral
Conspiracy theories swirl around the death of Antonin Scalia,fear
"What is one more election thread, ehhh?",neutral
McCain: Trump doesn't understand Syria,neutral
Trump manager says 'undercover voters' will deliver win in US election,neutral
Re: WikiLeaks: ‘How is what Bill Clinton did different from what Bill Cosby did?’ #PodestaEmails20,fear
"REPORT: Megyn Trashes Trump, Newt… Then Murdoch Announces Replacements Are Available",neutral
Suspect captured in ‘ambush-style’ killings of two Iowa cops,disgust
Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy,neutral
The next president can have a big impact on climate policy — even without Congress,neutral
Look at the SHOCKING Number of Kids Born To Illegals in 2014,surprise
Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters,neutral
Justice Department Staffers Monitor Polls on Election Day,neutral
Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks,anger
Poll: 71 percent of Dems think Clinton should keep running even if indicted,neutral
Trumped!,anger
Is the Iran deal unraveling? Think again. | Institution,fear
Saturn’s Baffling Hexagon — The Raging Storm Four Times the Size of Earth has Changed Its Colors,neutral
"Cyrus Mistry renames himself Rohit Sharma-Mistry, gets job back",neutral
The FBI intervenes in the 2016 election,fear
"Re: If Donald Trump Wins, He Will Be 70 Years, 7 Months And 7 Days Old On His First Full Day In Office",neutral
Shutdown clash to return in force by December,anger
Classless Obama Refuses Photo-Op of White House Welcome with Trump,neutral
Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg,sadness
Stuff in the News That No One Is Talking About Because of the Election,disgust
Blizzard of charges and countercharges melts away as opinions of Trump and Clinton are frozen,anger
Social Media Is Censoring FBI’s Re-Opened Clinton Email Investigation,disgust
Obama Inches Closer to Veto-Proof Support for Iran Nuclear Deal,neutral
How Clinton plans to stop Sanders' momentum,neutral
Martin O’Malley Praises Senate Democrats for Holding Up Trade Deal,joy
Shi’ite Militias Join Iraq’s Mosul Attack,fear
‘Super PAC’ Gets Early Start on Pushing for a 2016 Clinton Campaign,neutral
Christianity under attack: US must do more to promote religious freedom,fear
U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them,neutral
VIDEO: Journalist Shot by Militarized Police at Standing Rock While Conducting an Interview,fear
"Buffett: If I Ran Fed, I Would Not Raise Rates Significantly",neutral
Are Tensions With Russia Even Real?,anger
Iran agrees to nuclear restrictions in framework deal with world powers,neutral
Comment on This Is What Constipation Does To Your Body by THIS IS WHAT CONSTIPATION DOES TO YOUR BODY | TheHealthology,neutral
Fifteen Quotes Proving False Flag Terrorism & the Existence of a ‘Shadow Government’,fear
"Bernie Sanders’s vast universe of donors, mapped",neutral
"Former Ambassador Andrew Young calls for end to water fluoridation, “Civil Rights Issue”",anger
Trump's New Ad Portraying 'Every Mother's Worst Nightmare' is Nothing Short of Chilling,fear
Undercover Video Exposes Obama’s Plan to Make American “Gun Laws” More Like Britain – TruthFeed,disgust
So That Happened: Did Obama Forget That The GOP Runs Congress?,surprise
"Syrian War Report – November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo",fear
Should Christians Celebrate Halloween?,joy
Sunday in Charleston: Worship at Emanuel AME,joy
Only Making Matters Worse in Syria,disgust
"FACT CHECK: Hillary Clinton's Speech To The Democratic Convention, Annotated",disgust
BUSTED: Clinton Foundation Directly Tied To Plot To Steal Election,anger
Connecticut Becomes First State To Boycott Indiana Over LGBT Discrimination Law,anger
Scott Walker Confronts Doubts About His Grasp of Foreign Policy,anger
Iran carries out new ballistic missile test,fear
Assange: Donald Trump Won’t Be Allowed to Win – Clinton & ISIS Funded by Same Interests,neutral
Why Joe Biden can't get no respect,anger
"Come on, Paul Ryan must be running in 2016, right? Right?",neutral
Why Bernie Sanders needs to start winning big states — big,neutral
Leaked: What’s in Obama’s trade deal,neutral
"Michael Moore admits no women ever melted the ice caps, bombs American history",neutral
Someone Isn't Telling The Truth About Freddie Gray's Death,disgust
Prison employee pleaded not guilty to aiding escape of two murderers,sadness
Culchie Tries To Explain Rules Of 25 One More Time,neutral
Election Day: No Legal Pot In Ohio; Democrats Lose In The South,sadness
President Trump: A colossal failure for democracy and our terrifying new reality,fear
Who had to go :-),surprise
Raqqa/Mosul: Politicians Fiddle As Middle East Burns,neutral
Chris Christie losing home-state donors as Jeb Bush makes inroads,sadness
Washington Home Depot store receives order for five-thousand gallons of gold exterior paint,neutral
Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information,neutral
Can Sanders rally supporters around Clinton after DNC email leak?,neutral
'Historic' climate deal in sight as nations parse final text,neutral
We Live In A Time Where Each Individual Has Immense Power,neutral
"Trump slams 'corrupt' media, as more women make sexual assault claims",anger
Only Demented Imbeciles Want A Killary Reign Of Terror,fear
This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion,neutral
Americans Are So Disconnected From Reality That “Insouciant” Has Become An Euphemism,disgust
The 5 unspoken rules for covering Hillary Clinton,neutral
"Hillary Melts Down Over Weiner In Public, PICS Prove Campaign Is Imploding",sadness
Clinton Vs. Trump: Latest Electoral Prediction [Greg Laden's Blog] | Science and Technology,neutral
Jubilee Year of Mercy ends on November 20. Following Judgment?,neutral
Iraq launches operation against ISIS in Anbar province,fear
UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,fear
Justices Kennedy and Scalia and their divide on gay rights,neutral
Justice Clarence Thomas Describes Washington DC As “Broken”,sadness
"The Week In Pictures – Week Of October 31, 2016 - The Onion - America's Finest News Source",joy
Jeb Bush's Foreign Policy Plan: More Military Spending Will 'Encourage Peace',neutral
"John Kasich: He’s Conservative, but at Least He’s Sane",neutral
2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,disgust
Authorities search for clues after raid thwarts potential 'Belgian Charlie Hebdo' attack,fear
8 classic football banners of our time,neutral
Tweetwave,neutral
Trump’s Gettysburg Address against the New World Order,anger
Debate Goals for the Democratic Candidates,neutral
'Spinning up as we speak': Email shows Pentagon was ready to roll as Benghazi attack occurred,neutral
A Case Study On Why The Obamacare Lawsuit Is Based On Mythical History,neutral
Trump Proudly Declares: Most Of The People I’ve Insulted Deserved It,anger
Dems sue GOP over Trump's 'rigged' complaints,anger
US Airstrikes on Iraqi Army Slowing Advance on Mosul,fear
Iran letter blowback startles GOP,fear
"Clinton Camp Desperate, Russia Trains for WWIII",sadness
Donald Trump's GOP civil war,anger
Comment on Tainted Measles Vaccine Kills More Than 50 Children In Syria by Tragic Deaths Used To Promote Vaccine Fear – On The Fence About Vaccines,fear
Laura Bush hints she'd rather see Hillary as president,neutral
"Scott Walker, Rick Perry show limits of super PACs",neutral
If Catcalls Were Politically Correct…,anger
Why Hillary Won't Unleash WWIII    : Information,fear
Is It Time To Reconsider Lifetime Appointments To The Supreme Court?,neutral
"Clinton has delegates to win Dem nomination, AP reports; Sanders questions tally",neutral
Hillary IMPLODES: Trump 'Took Everything...Paid Nothing To Support Us!',anger
"Trump says Obama born in US, ‘period’ – after new ‘birther’ dust-up",neutral
"MH370: If debris is part of missing plane, what's next?",fear
GOOGLE PLANNED MASSIVE AI INTEGRATED SOCIAL NETWORK SPY TOOL FOR HILLARY CAMPAIGN IN 2014,surprise
Israel stole classified US information and used it to help congressional Republicans,anger
"""America has a simple ideology"": how one of Russia's top US experts explains America",neutral
Poll shows Trump made up 13 points in under 2 weeks — now he likes polls again,surprise
"Chaos on House floor as Dems, Republicans clash over LGBT proposal",fear
"New Study Links Fluoride Consumption To Hypothyroidism, Weight Gain, And Worse",disgust
"Clinton, Sanders accuse Trump of inciting violence",anger
Memo to the Next Administration: Defense Spending Must Be For Actual Defense,neutral
"In New Responses, Hillary Clinton Insists Email Setup A Matter Of 'Convenience'",neutral
Trump mulls alternative options for making Mexico finance 'the wall',neutral
The circus of liars - America's three rings of evil clowns,neutral
"Donald Trump said ‘university’ was all about education. Actually, its goal was: ‘Sell, sell, sell!’",disgust
Trump Has Forever Changed American Politics,neutral
Kerry Adviser Marie Harf in Twitter Fight Over Iran Nukes,anger
"The role of the US and Nato in EU relations with China, by Manlio Dinucci",neutral
The Daily 202: Many African Americans unenthusiastically ‘settle’ for Hillary Clinton,neutral
"100,000 people have come to recent Bernie Sanders rallies. How does he do it?",surprise
Trump The President: What Does That Mean For The World? - CounterCurrents.org,neutral
"'You've been fleeced': Congress grills Kerry, Obama officials on Iran nuke deal",disgust
"What 20,000 pages of hacked WikiLeaks emails teach us about Hillary Clinton",neutral
Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist — New York Malpractice & Injury Lawyer Blog,anger
FOX News Just Admitted It Made Up Story About Hillary Being “Indicted” For Foundation,neutral
Repudiating the Media,disgust
Buchanan Smashes CNN Shill,fear
The Impossible Is Happening: Cubs Win World Series and Yes… Hillary Clinton is Now Likely to be Indicted,neutral
America After Election 2016: the Gullible and the Shattered - David Kerans,neutral
Anderson Cooper Absolutely OWNS Kellyanne Conway After FBI Clears Hillary…Again (VIDEO),neutral
‘Schlonged!’ NYT: FBI reopened Hillary probe thanks to … ANTHONY WEINER?,surprise
What do Americans really think of election coverage?,neutral
Exclusive: Siege of Islamabad,neutral
The Fix Is In: NBC Affiliate Accidentally Posts Election Results A Week Early: Hillary Wins Presidency 42% to Trump’s 40%,neutral
Lynch schools the wingnuts: How the right tried — and failed — to wound Obama’s AG nominee,neutral
"Yes, Ted Cruz could win",neutral
"‘Can’t build a wall, hands too small!’ – NYC anti-Trump protest (Streamed live)",anger
Trump advisors try to pivot not fishtail,neutral
"Christians drop, 'nones' soar in new religion portrait",neutral
Comment on Brother of Clinton’s Campaign Chair is an Active Foreign Agent on the Saudi Arabian Payroll by marlene,neutral
Inside the Deliberations of a Hillary Clinton Campaign Launch,disgust
American Express disowns Pink Floyd singer Roger Waters because of pro-Palestinian views,sadness
Clinton condemns Trump over Chicago violence,sadness
"In France, a growing debate over why some speech is protected and some isn’t",anger
President-Elect Donald Trump's First Televised Interview Since He Won the Election     : Information,fear
North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times,neutral
Russia reacts to UN aid chief's Aleppo 'kill zone' remarks,anger
Representative Government or Thugocracy?,neutral
Gay rights and religious liberty: Can Americans have both?,neutral
"As Rand Paul stalls, Ted Cruz seeks to pick up support among libertarians",neutral
“A dream come true for Hillary Clinton”: Wall Street Journal editorial board rips Ted Cruz,neutral
Obama Presses Putin to Strike Ukraine Peace Deal,neutral
"Trumka: Disappointment with Obama, a warning for Hillary",sadness
Pro-Palestinian Propaganda Lowering Standards of Truth in America,disgust
Wingnuts have a death-grip on Congress: Why Paul Ryan can’t control the House GOP,neutral
Lifting weights could ward off dementia and make you smarter,neutral
People excited about Christmas adverts told about rest of human culture,joy
State Department warns of possible terror attack in South Africa,fear
Who Lost Iraq?,neutral
Pope Francis implores Congress to accept immigrants as their own,neutral
"Poll: Trump gains in Iowa, still dominates in New Hampshire",neutral
Rand Paul Goes on Senate Floor to Protest NSA Spying Measure,anger
China Airport Security Robot Gives Electroshocks,neutral
Obama Details His Disappointment With Netanyahu In First Post-Election Comments,sadness
"Re: WikiLeaks: Neera Tanden has ANOTHER ringing endorsement for Hillary! (No, not really)",surprise
Reality Check: First Clinton v Trump presidential debate,neutral
Doomsday Election,fear
John Kasich’s Advice for Women to Prevent Sexual Assault: Avoid Parties “Where There’s a Lot of Alcohol”,neutral
The system set Boehner up for failure,neutral
Gay marriage victory at Supreme Court triggering backlash,anger
Who rode it best? Jesse Jackson mounts up to fight pipeline; Leonardo DiCaprio to the rescue?,neutral
McCarthy drops out of speaker race as House asks: Who wants this job? (+video),neutral
"Democrats, Republicans in tight races as Iowans prepare to caucus",neutral
Iran: Why the best outcome now is to keep negotiating without reaching a deal,neutral
NAZI Flying Saucers & A Permanent Base in Antarctica,joy
BREAKING: Man Brags on Facebook of Voting 3 Times… Then Reveals How He Did It,surprise
Furious parents slam ‘damaging’ BBC sex change show aimed at six-year-olds,anger
Trump Family Say Trump Brand Has NOT Been Damaged,neutral
Rand Paul is flatlining,neutral
Nurse Chris Christie Quarantined For Ebola Goes After Governor On Vaccines,neutral
Can Paul Ryan and Donald Trump coexist within the Republican Party?,neutral
"Cruz copying me on border wall, Trump says",neutral
John Oliver: America’s Increasingly Segregated Schools Are ‘Very Rarely Equal in Any Way’ (Video),neutral
The Rise of Mandatory Vaccinations Means the End of Medical Freedom,fear
Scientists Fascinated By Lake Under The Sea: Those Who Enter Never Come Out [Watch],neutral
Jeb Bush loses TV ad edge to Marco Rubio,neutral
"Russia, India Discuss FGFA Advanced Fighter, Su-30MKI Upgrade",neutral
"Our real police/race problem: Diverse forces, white resentment, and America’s persistent divides",anger
The Supreme Court cannot hide on Obamacare,neutral
BREAKING : TED CRUZ CALLS FOR SPECIAL PROSECUTOR TO INVESTIGATE HILLARY – TruthFeed,neutral
"Poll: Hillary Clinton, Bernie Sanders both top Trump",neutral
Donald Trump revokes Washington Post press access (+video),neutral
The Real Reason Obamacare is Coming Unglued,neutral
How Jeb Bush can avoid being the Jon Huntsman of 2016,neutral
Revived Clinton Email Scandal Killed By A Slew Of New Facts In Record Time,sadness
Iraq’s Skies Darken as Islamic State Torches Oil,fear
New Yorkers fight to overturn ballot selfie ban,anger
Poll finds Ben Carson knocks Donald Trump from top spot nationally,neutral
“I’m glad that he won”: The surprising Palestinian reaction to Netanyahu’s win,surprise
George W. Bush’s Ethics Lawyer Files Complaint Against FBI Director James Comey,anger
Netflix Ceo: TV’s Future includes Hallucination Pills,neutral
Ernst to Trump: Stop with the name-calling,neutral
Comment on Elections 2012-16 by BeamMeUpScotty,neutral
After Debate Duke Says USA becoming Banana Republic,neutral
"NOW FIVE FBI FIELD OFFICES ARE PROBING CLINTON CHARITY, ADDING FUEL TO THE FIRE",anger
White House: GOP Has Failed to Put ‘Points on the Board’,neutral
The Daily 202: The presidency is Hillary Clinton’s to lose. Here are 12 ways she could lose it.,neutral
"Do Democrats Want What Bernie Wants, Or Just What Bernie Has?",neutral
Podesta wiki leaks...We prefer Muslims over Christians....,neutral
Critics Pounce on Madeleine Albright’s Exhortation to Women to Back Clinton,anger
Clinton doubles down on disputed claim FBI found her email remarks 'truthful',neutral
How the Clintons’ Haiti development plans succeed — and disappoint,sadness
Of Course Facebook Is Biased. Its Real Problem Is That It Won’t Admit It.,sadness
Tax Calculator: The federal debt,neutral
Trump and advisers remain split on how far to move toward the middle,neutral
Clinton in the final stretch: winning over anti-Trump contingent may be best play,neutral
Australian taxpayers charged over $88 million for donation to corrupt Clinton Foundation,anger
Vatican Ends Scrutiny Of U.S. Nuns,disgust
How Clinton’s email scandal took root,fear
Jews ‘blamed for Holocaust’ at House of Lords event,disgust
The Disappearing Middle: Electorate Way Less Moderate Than Past Primaries,sadness
"Hannity: WikiLeaks Has Proven That ""Everything The Conspiracy Theorists Said"" Was True",disgust
Russia successfully tests its first-ever hypersonic weapon,neutral
The Hulk Actor Mark Ruffalo Has Joined Standing Rock to Protest DAPL,anger
AP FACT CHECK: The Republican debaters and the facts,neutral
Why the drop in income inequality?,surprise
Walmart Goes Against The Grain Of Obama’s America With New Thanksgiving Ad,neutral
Senate Makes History By Confirming Loretta Lynch As U.S. Attorney General,neutral
Manhunt for escaped killers expands to Vermont,fear
The Path To Total Dictatorship: America’s “Shadow Government” And Its Silent Coup,neutral
To the Youth a Day After the Election: Another World Is Possible,neutral
Physical Gold Demand and Fear,fear
Protester charged with shooting officers in Ferguson,anger
Comment on U.S. war with Iran has already begun by جنگ ارزی آمریکا علیه ایران / مورد مطالعاتی سال 1390 - کدآمایی,neutral
It’s not the ‘locker-room’ talk. It’s the ‘lock her up’ talk.,neutral
"GOP braces for Trump loss, roiled by refusal to accept election results",fear
If You Have One Of These Old VHS Tapes It May Be Worth Over $1000,neutral
Obama: Trump is ‘unfit to serve as president’,sadness
Pope Francis met Kim Davis: why it matters in fight over religious freedom (+video),neutral
Study: Phytochemical Found In Broccoli And Cauliflower Attacks Prostate Cancer Cells,disgust
David Duke wins Louisiana Senate Debate in Landslide despite BLM Riots,neutral
Paris Tragedy Could Shake Up 2016 Race,fear
Hillary Clinton Is Now Radioactive – SoT #122,neutral
2016's first GOP debate: Six things to look for in Charleston,neutral
Black Hawk crashes off Florida; human remains found,sadness
VIDEO: Creepy Clown Gets Pistol-Whipped!,disgust
THE VISION THING 16    : Information,neutral
"Drudge, Koch, Soros, Bezos: These 4 non-politicians will determine the next president",neutral
The Other Way of Knowing,neutral
Obama and Putin outline competing visions on Syria,neutral
Comment on Police Officer’s Wife Caught Faking a Robbery In a Scheme To Frame Black Lives Matter by The Cat's Vagina (Nasty Woman),anger
Is the GOP losing Walmart?,surprise
Supreme Court Decides to Weigh in On Transgender Rights,disgust
If Hillary Clinton Is Charged With Obstruction Of Justice She Could Go To Prison For 20 Years,sadness
"'Top secret' emails on Clinton server discussed drone program, may reference classified info",neutral
Miracles Man: Metaxas Vs. Closed Minds And A Closed Universe,neutral
Obamacare Premiums Spike an Average of 25%!,surprise
Collective Consciousness – The Individual is Gone,neutral
Obama on gun control: His emotional evolution,neutral
What Scientists Found Inside This 800-Year-Old Pot... Is Changing History!,surprise
The Clock Is Ticking And Republicans Still Have No Serious Obamacare Alternative,neutral
Trump treads on tradition in New Hampshire,neutral
GOP presidential candidates hammer on 'top secret' Clinton emails in final days before Iowa Caucus,anger
"Cleveland, Justice Department Reach Policing Deal",neutral
Physicists Say Consciousness Should Be Considered A State of Matter: The “Non Physical” Is Real,neutral
"A GOP Weekend, Courtesy Of The Koch Network And Citizens United",joy
"Juan Williams: My bets on Trump, Clinton vice presidential picks",neutral
How Trump And Clinton Are Framing Their Closing Arguments,neutral
Scott Walker and questioning Obama’s faith,fear
What Is Hillary’s Greatest Accomplishment?,neutral
"Iranians Spend $2.1b on Beauty Products Annually, 3 Times more than Their European Counterparts",neutral
"Sanders, Trump easily win West Virginia primary; Trump picks up Nebraska too",neutral
"Clinton, Sanders to Face Off in 1st Democrat Debate",fear
#InNorthDakota ~~ PALESTINIANS STAND WITH THE SIOUX,fear
"Human remains suggest explosion brought down EgyptAir plane, forensics official says",fear
US officials scanning terror databases in search for Paris attack suspects,fear
"ISIS Declares It Will kill Palestinians “One By One”’, Yet Remains Quiet On Israel",fear
"Hillary, The Political Scientist",neutral
"BOOM! This Is How President Reagan Handled Protesters: ""Negotiate? What is there to negotiate?"" [Video] » 100percentfedUp.com",surprise
Clinton Picks Up The First Major Labor Endorsement Of 2016,neutral
Links 11/12/16,neutral
Obama: Syria war unlikely to end during his presidency,fear
'Blue and Brave': Illinois town rallies around police as search for officer's killer goes on,joy
Senate Advances Bill To Approve Keystone Pipeline Despite Obama's Veto Threat,fear
Comment on Indoor Gardening Made Easy: The Nutritower! by Indoor Gardening Made Easy: The Nutritower! – Collective EvolutionGardening Business News UK | Gardening Business News UK,neutral
US abstains from UN vote calling for end to Cuban embargo,sadness
Young Turks Finds Out Why Trump Is About To Lose Utah For Republicans For First Time In Decades (VIDEO),neutral
Comment on Mayor de Blasio claims hot dog carts are causing global warming by Dr. Eowyn,neutral
Momentum to bar Syrian refugees slows,neutral
New evidence that the legal immigration system discriminates against Latin Americans,disgust
"America Might Not Deserve Trump, But Dems and Hillary Deserved To Lose",sadness
Media turn blind eye to Hillary Clinton’s glaring mistakes,disgust
State Department admits to deliberately cutting briefing footage on Iran deal,sadness
"U.S. Economy Added 271,000 Jobs In October, Beating Expectations",surprise
"Hillary Clinton narrowly wins Kentucky, a state Bernie Sanders needed by huge margins",neutral
"No, it's not 'World War 3'",neutral
