headline,emotion_huggingface
Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,neutral
New Comment Features have been Added,neutral
Ying and Yang (the Gold and Silver Set-Up),neutral
Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,anger
Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,fear
Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,neutral
Is google and YouTube in the Hillary's purse?,neutral
Truth Will Out Radio: The Laconia Incident,neutral
Should I Get Botox?,sadness
Lavrov and Kerry discuss Syrian settlement,neutral
BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,neutral
Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,neutral
Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,neutral
Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],anger
"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",neutral
CNN: One voter can make a difference by voting repeatedly,neutral
Newly Approved GM Potatoes Have Potential to Silence Human Genes,neutral
"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",neutral
Nuclear weapons question,neutral
Kevin MacDonald celebrates Trump’s Amazing Victory,joy
"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",neutral
Glorifying Violence,joy
Russia may run out of patience and respond to USA's rudeness,neutral
The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,fear
APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,fear
"Geo-Engineering Unlikely to Work, Conservation Group Says",neutral
“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,neutral
“We Were Long Overdue A Presidential Assassination Anyway”,neutral
"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",fear
Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,fear
"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US",neutral
Monsieur Malbrough est Mort | New Eastern Outlook,neutral
"What is one more election thread, ehhh?",neutral
Re: WikiLeaks: ‘How is what Bill Clinton did different from what Bill Cosby did?’ #PodestaEmails20,fear
"REPORT: Megyn Trashes Trump, Newt… Then Murdoch Announces Replacements Are Available",neutral
Suspect captured in ‘ambush-style’ killings of two Iowa cops,disgust
Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy,neutral
Look at the SHOCKING Number of Kids Born To Illegals in 2014,surprise
Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters,neutral
Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks,anger
Trumped!,anger
Saturn’s Baffling Hexagon — The Raging Storm Four Times the Size of Earth has Changed Its Colors,neutral
"Cyrus Mistry renames himself Rohit Sharma-Mistry, gets job back",neutral
The FBI intervenes in the 2016 election,fear
"Re: If Donald Trump Wins, He Will Be 70 Years, 7 Months And 7 Days Old On His First Full Day In Office",neutral
Classless Obama Refuses Photo-Op of White House Welcome with Trump,neutral
Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg,sadness
Stuff in the News That No One Is Talking About Because of the Election,disgust
Social Media Is Censoring FBI’s Re-Opened Clinton Email Investigation,disgust
Shi’ite Militias Join Iraq’s Mosul Attack,fear
U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them,neutral
VIDEO: Journalist Shot by Militarized Police at Standing Rock While Conducting an Interview,fear
Are Tensions With Russia Even Real?,anger
Comment on This Is What Constipation Does To Your Body by THIS IS WHAT CONSTIPATION DOES TO YOUR BODY | TheHealthology,neutral
Fifteen Quotes Proving False Flag Terrorism & the Existence of a ‘Shadow Government’,fear
"Former Ambassador Andrew Young calls for end to water fluoridation, “Civil Rights Issue”",anger
Trump's New Ad Portraying 'Every Mother's Worst Nightmare' is Nothing Short of Chilling,fear
Undercover Video Exposes Obama’s Plan to Make American “Gun Laws” More Like Britain – TruthFeed,disgust
"Syrian War Report – November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo",fear
Should Christians Celebrate Halloween?,joy
Only Making Matters Worse in Syria,disgust
BUSTED: Clinton Foundation Directly Tied To Plot To Steal Election,anger
Assange: Donald Trump Won’t Be Allowed to Win – Clinton & ISIS Funded by Same Interests,neutral
"Michael Moore admits no women ever melted the ice caps, bombs American history",neutral
Culchie Tries To Explain Rules Of 25 One More Time,neutral
Who had to go :-),surprise
Raqqa/Mosul: Politicians Fiddle As Middle East Burns,neutral
Washington Home Depot store receives order for five-thousand gallons of gold exterior paint,neutral
Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information,neutral
We Live In A Time Where Each Individual Has Immense Power,neutral
Only Demented Imbeciles Want A Killary Reign Of Terror,fear
This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion,neutral
Americans Are So Disconnected From Reality That “Insouciant” Has Become An Euphemism,disgust
"Hillary Melts Down Over Weiner In Public, PICS Prove Campaign Is Imploding",sadness
Clinton Vs. Trump: Latest Electoral Prediction [Greg Laden's Blog] | Science and Technology,neutral
Jubilee Year of Mercy ends on November 20. Following Judgment?,neutral
UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,fear
Justice Clarence Thomas Describes Washington DC As “Broken”,sadness
"The Week In Pictures – Week Of October 31, 2016 - The Onion - America's Finest News Source",joy
8 classic football banners of our time,neutral
Tweetwave,neutral
Trump’s Gettysburg Address against the New World Order,anger
Trump Proudly Declares: Most Of The People I’ve Insulted Deserved It,anger
Dems sue GOP over Trump's 'rigged' complaints,anger
US Airstrikes on Iraqi Army Slowing Advance on Mosul,fear
"Clinton Camp Desperate, Russia Trains for WWIII",sadness
Comment on Tainted Measles Vaccine Kills More Than 50 Children In Syria by Tragic Deaths Used To Promote Vaccine Fear – On The Fence About Vaccines,fear
If Catcalls Were Politically Correct…,anger
Why Hillary Won't Unleash WWIII    : Information,fear
Hillary IMPLODES: Trump 'Took Everything...Paid Nothing To Support Us!',anger
GOOGLE PLANNED MASSIVE AI INTEGRATED SOCIAL NETWORK SPY TOOL FOR HILLARY CAMPAIGN IN 2014,surprise
"New Study Links Fluoride Consumption To Hypothyroidism, Weight Gain, And Worse",disgust
Memo to the Next Administration: Defense Spending Must Be For Actual Defense,neutral
The circus of liars - America's three rings of evil clowns,neutral
Trump Has Forever Changed American Politics,neutral
"The role of the US and Nato in EU relations with China, by Manlio Dinucci",neutral
Trump The President: What Does That Mean For The World? - CounterCurrents.org,neutral
Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist — New York Malpractice & Injury Lawyer Blog,anger
FOX News Just Admitted It Made Up Story About Hillary Being “Indicted” For Foundation,neutral
Repudiating the Media,disgust
Buchanan Smashes CNN Shill,fear
The Impossible Is Happening: Cubs Win World Series and Yes… Hillary Clinton is Now Likely to be Indicted,neutral
America After Election 2016: the Gullible and the Shattered - David Kerans,neutral
Anderson Cooper Absolutely OWNS Kellyanne Conway After FBI Clears Hillary…Again (VIDEO),neutral
‘Schlonged!’ NYT: FBI reopened Hillary probe thanks to … ANTHONY WEINER?,surprise
Exclusive: Siege of Islamabad,neutral
The Fix Is In: NBC Affiliate Accidentally Posts Election Results A Week Early: Hillary Wins Presidency 42% to Trump’s 40%,neutral
"‘Can’t build a wall, hands too small!’ – NYC anti-Trump protest (Streamed live)",anger
Comment on Brother of Clinton’s Campaign Chair is an Active Foreign Agent on the Saudi Arabian Payroll by marlene,neutral
American Express disowns Pink Floyd singer Roger Waters because of pro-Palestinian views,sadness
President-Elect Donald Trump's First Televised Interview Since He Won the Election     : Information,fear
North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times,neutral
Russia reacts to UN aid chief's Aleppo 'kill zone' remarks,anger
Representative Government or Thugocracy?,neutral
Pro-Palestinian Propaganda Lowering Standards of Truth in America,disgust
Lifting weights could ward off dementia and make you smarter,neutral
People excited about Christmas adverts told about rest of human culture,joy
China Airport Security Robot Gives Electroshocks,neutral
"Re: WikiLeaks: Neera Tanden has ANOTHER ringing endorsement for Hillary! (No, not really)",surprise
Doomsday Election,fear
Who rode it best? Jesse Jackson mounts up to fight pipeline; Leonardo DiCaprio to the rescue?,neutral
NAZI Flying Saucers & A Permanent Base in Antarctica,joy
BREAKING: Man Brags on Facebook of Voting 3 Times… Then Reveals How He Did It,surprise
Furious parents slam ‘damaging’ BBC sex change show aimed at six-year-olds,anger
Trump Family Say Trump Brand Has NOT Been Damaged,neutral
John Oliver: America’s Increasingly Segregated Schools Are ‘Very Rarely Equal in Any Way’ (Video),neutral
The Rise of Mandatory Vaccinations Means the End of Medical Freedom,fear
Scientists Fascinated By Lake Under The Sea: Those Who Enter Never Come Out [Watch],neutral
"Russia, India Discuss FGFA Advanced Fighter, Su-30MKI Upgrade",neutral
BREAKING : TED CRUZ CALLS FOR SPECIAL PROSECUTOR TO INVESTIGATE HILLARY – TruthFeed,neutral
The Real Reason Obamacare is Coming Unglued,neutral
Revived Clinton Email Scandal Killed By A Slew Of New Facts In Record Time,sadness
Iraq’s Skies Darken as Islamic State Torches Oil,fear
New Yorkers fight to overturn ballot selfie ban,anger
George W. Bush’s Ethics Lawyer Files Complaint Against FBI Director James Comey,anger
Netflix Ceo: TV’s Future includes Hallucination Pills,neutral
Comment on Elections 2012-16 by BeamMeUpScotty,neutral
After Debate Duke Says USA becoming Banana Republic,neutral
"NOW FIVE FBI FIELD OFFICES ARE PROBING CLINTON CHARITY, ADDING FUEL TO THE FIRE",anger
Podesta wiki leaks...We prefer Muslims over Christians....,neutral
Australian taxpayers charged over $88 million for donation to corrupt Clinton Foundation,anger
Jews ‘blamed for Holocaust’ at House of Lords event,disgust
Russia successfully tests its first-ever hypersonic weapon,neutral
The Hulk Actor Mark Ruffalo Has Joined Standing Rock to Protest DAPL,anger
Walmart Goes Against The Grain Of Obama’s America With New Thanksgiving Ad,neutral
The Path To Total Dictatorship: America’s “Shadow Government” And Its Silent Coup,neutral
To the Youth a Day After the Election: Another World Is Possible,neutral
Physical Gold Demand and Fear,fear
Comment on U.S. war with Iran has already begun by جنگ ارزی آمریکا علیه ایران / مورد مطالعاتی سال 1390 - کدآمایی,neutral
If You Have One Of These Old VHS Tapes It May Be Worth Over $1000,neutral
Study: Phytochemical Found In Broccoli And Cauliflower Attacks Prostate Cancer Cells,disgust
David Duke wins Louisiana Senate Debate in Landslide despite BLM Riots,neutral
Hillary Clinton Is Now Radioactive – SoT #122,neutral
VIDEO: Creepy Clown Gets Pistol-Whipped!,disgust
THE VISION THING 16    : Information,neutral
The Other Way of Knowing,neutral
Comment on Police Officer’s Wife Caught Faking a Robbery In a Scheme To Frame Black Lives Matter by The Cat's Vagina (Nasty Woman),anger
Supreme Court Decides to Weigh in On Transgender Rights,disgust
If Hillary Clinton Is Charged With Obstruction Of Justice She Could Go To Prison For 20 Years,sadness
Obamacare Premiums Spike an Average of 25%!,surprise
Collective Consciousness – The Individual is Gone,neutral
What Scientists Found Inside This 800-Year-Old Pot... Is Changing History!,surprise
Physicists Say Consciousness Should Be Considered A State of Matter: The “Non Physical” Is Real,neutral
"Iranians Spend $2.1b on Beauty Products Annually, 3 Times more than Their European Counterparts",neutral
#InNorthDakota ~~ PALESTINIANS STAND WITH THE SIOUX,fear
"ISIS Declares It Will kill Palestinians “One By One”’, Yet Remains Quiet On Israel",fear
"Hillary, The Political Scientist",neutral
"BOOM! This Is How President Reagan Handled Protesters: ""Negotiate? What is there to negotiate?"" [Video] » 100percentfedUp.com",surprise
Links 11/12/16,neutral
Comment on Indoor Gardening Made Easy: The Nutritower! by Indoor Gardening Made Easy: The Nutritower! – Collective EvolutionGardening Business News UK | Gardening Business News UK,neutral
US abstains from UN vote calling for end to Cuban embargo,sadness
Young Turks Finds Out Why Trump Is About To Lose Utah For Republicans For First Time In Decades (VIDEO),neutral
Comment on Mayor de Blasio claims hot dog carts are causing global warming by Dr. Eowyn,neutral
"America Might Not Deserve Trump, But Dems and Hillary Deserved To Lose",sadness
Just Another Day In the Life of the Clinton Crime Family,sadness
Muslims regularly use “Inshallah” (“God Willing” in Arabic) and nobody calls it ‘Christophobic’ hate speech…so why is “Deus Vult” (“God Willing” in Latin) graffiti being called ‘Islamophobic’ Crusader hate speech?,neutral
"Hillary Clinton, FBI and the Real November Surprise     : Information",surprise
Breaking: Ivanka Trump Makes Tragic Announcement Both Donald Trump and Supporters Are Shocked (Video) | Prophecy,fear
GOP Senator Silences the Entire Room With Remark About War Hero Opponent's Heritage at Debate,disgust
2:00PM Election Day Water Cooler 11/8/2016,neutral
News: A Somber Moment: Cubs Fans All Over The World Are Still Too Sad About Princess Diana To Celebrate The Cubs’ World Series,sadness
Your Facebook Page Could Land You In a FEMA Camp,fear
Watching These 55 ISIS Terrorists Get Blown to Smithereens is Sure to Brighten Your Day,neutral
Your dog probably has better healthcare than you do,neutral
Get Ready For Civil Unrest: Survey Finds That Most Americans Are Concerned About Election Violence,fear
Retired Bishop Explains Why The Catholic Church Invented Hell [Watch],disgust
Will a No-Fly Zone Help the People of Aleppo?,fear
"Experts Recommend Breaking Down Crushing Defeats Into Smaller, More Manageable Failures - The Onion - America's Finest News Source",neutral
"Comment on Score one for the Second Amendment: Pizza Hut worker shoots, kills attempted robber by lynnmccrann",neutral
War on Drugs Heading in Wrong Direction?,disgust
"It Begins: Crowds Mass In Major Cities: DC, LA, NYC, Philly, Portland, More… | Will It Escalate? | “95% Chance Of Widespread Violence”",fear
Hillary Fan SLEEPS At Rally! Snoozy Smurf Steals Show! (ABC News) Coconut Creek FLA,joy
"Neighbors Smell Smoke At Muslim Home, What They See In Window Is Horrific",fear
The Middle East Crises Trump Inherits Could Still Suck Him in,sadness
John Kirby and the US State Department Blatantly Support Terrorists - Henry Kamens,anger
Joe Giambrone on Hollywood’s Shameless & Underhanded Assault on Political Truth,fear
"Blame government, not markets for monopoly",anger
Carrot Top To Give Nobel Awards At Drive Thru Window,surprise
Gauis Publius: TPP Has Picked Up a Powerful Enemy — Black Lives Matter,neutral
Training French soldiers to supervise Daesh,disgust
November 8 Is (Finally) Here: An Abridged Election Day Resource Guide,neutral
The Anatomy of Crisis and the Decline of US Empire,fear
7 Ways To Prepare For An Economic Crisis,fear
"14 Days to Do 14 Things, If Hillary’s Indicted-Extreme Violence Expected",fear
Daesh abducts 1000s near Mosul to use them as human shields: UN,neutral
Oregon Standoff Leaders Acquitted For Malheur Wildlife Refuge Takeover,neutral
"Muslims Start Chanting Allah On Plane, Flight Attendant Quickly Shuts Them Up",neutral
Unprecedented Surge In Election Fraud Incidents From Around The Country,fear
Re: DOJ AG Loretta Lynch Advised FBI Director to Keep New Emails from Congress,anger
"Anonymous hacker Deric Lostutter faces 16 years in prison, while Steubenville rapists walk free",sadness
McCain Pledges to Help Pentagon Fix Scandal Over Excessive Military Bonuses,disgust
Like a “Concentration Camp” Police Mark DAPL Protesters with Numbers and Lock Them in Dog Kennels,neutral
You Can't Be Intersectional While at the Same Time Being Elitist and Exclusionary,neutral
The World Is About To Witness A Breathtaking Once In A Century Event,joy
Forbidden History. Secret Egyptology Exposed!,disgust
THE AMERICAN PUBLIC CAN NO LONGER DEAL WITH THE LIMITLESS CORRUPTION OF THEIR GOVERNMENT,anger
CAN'T TRUST OBAMA! Look At Sick Thing He Just Did To STAB Trump In The Back... * LIBERTY WRITERS NEWS,neutral
Can nuclear war break out on the Korean Peninsula?,fear
Hacking Accusations Against Russia Are Sign of Washington's Desperation,anger
Dr. MacDonald & Dr. Duke Expose the Vicious War on Trump by the Jewish Establishment!,anger
Election 2016 and the Weaponization of the American Public,neutral
COMICAL: Larry the Cable Guy slams ‘indefensible’ hypocrisy from Donna Brazile,disgust
Hillary Clinton in lead a day before Election Day,fear
Teenage Boy KNOCKS OUT His Classmate For Assaulting Their Female Teacher In The FACE- And It’s EPIC!,disgust
"Meteor, space junk, rocket? Mysterious flash hits Siberia",neutral
‘Why is it the first time I’m hearing about this?’ asks office wanker,surprise
"BREAKING: New Law Stops Hillary In Her Tracks, She Is Now Officially Ineligible To Run",neutral
"We do not like trampolining, say hedgehogs",disgust
President Putin Asks US To Stop Provoking Russia,anger
“I’ve Always Been An Admirer Of Donald Trump” – Taoiseach,disgust
Now waiting for the results | Opinion - Conservative,neutral
BrotherJohnF Silver Update: Fake Election,neutral
"When They Asked Her What She Thinks of Hillary Clinton, They Never Expected Her to Say THIS!",surprise
Which Non-OPEC Producers Can Be Expected To Cut?,neutral
Trump Team Begins Making List Of Executive Orders To ‘Erase Obama’s Presidency’ On Day One,fear
What The Trump Skeptics Got Wrong,neutral
Hillary Clinton Jumps the Shark with ‘Trump’s Secret Russian Server’ Conspiracy Theory,neutral
Alabama Prison Officials Retaliate Against Prison Strike Leader By Cutting Water To Cell,anger
Re: Texas Police Arrest Trump Voter for Wearing “Deplorable” T-Shirt,anger
"NGOs should condemn terrorists in Syria, not Russia fighting them – Foreign Ministry",fear
Genetically Modified Crops in U.S. Fail to Deliver Expected Yields,neutral
The Fatal Expense Of American Imperialism,anger
Comment on A Group Of Reluctant Men Hold Kittens For The First Time. Hilarity Ensures by para para dinle,joy
Hillary Clinton BETRAYED by Her Own Family: “We’re Voting for Trump!”,anger
Green Party’s Margaret Flowers Challenges US Senate Debate in Maryland as Undemocratic [1],anger
#BoycottComedian…ROBERT DENIRO Wanted “To Punch Trump In The Face”…Supports Anti-Trump Rioters…Now Wants Americans To Support His New Movie [VIDEO],anger
Doctor Finds New Life As A Clown More Fulfilling | GomerBlog,neutral
BREAKING : Bay of Pigs Veterans Association Endorses Donald Trump – TruthFeed,neutral
Rigged Election: Hillary & Trump Caught Partying with Kissinger at Jesuit Gala,disgust
Israel: 1984 Everlasting,neutral
Georgia Abandons Ukraine's Anti-Russian Obsession - Archil Sikharulidze,anger
"Trump Vows To ""Renovate"" the Bill of Rights",neutral
CNN Breaking News: Trump Tells Supporters To Vote Multiple Times,neutral
Hillary’s “Big Tent” is Obama’s “Grand Bargain” on Steroids,neutral
October 28: Daily Contrarian Reads,neutral
"How Western Media Teleported a Child 'Victim' from Homs to Aleppo (PHOTOS, VIDEO)",disgust
"James Comey to be taken out, knows too much about Clintons",neutral
"‘A noun, a verb and Donald Trump’: Rubio seeks to seize on Murphy’s flaw",neutral
The True Scandal of 2016 Was The Torture of Chelsea Manning     :,fear
"“CLINTON, INC”: WATCH HOW’S IT PAINS MSM TO REPORT CLINTON CORRUPTION",neutral
I dare you to restrain yourself from laughing at Trump and Hillary in a stronger hot show,anger
UFO Investigator - MAX SPIERS - Found Dead After Vomiting Black Liquid.,sadness
Jewish Press Releases Audio Tape Exposing Hillary Clinton Plotting to Rig Election,disgust
Clinton Campaign STUNNED As FBI Reportedly Reopens Probe Into Hillary Clinton Emails,neutral
Physicists just found more hints of an elusive particle that’s its own antiparticle,neutral
SHOCK: NSA Can Recover ALL of Hillary’s Deleted Emails,surprise
Electronic Voting Machines Caught Switching Trump Votes To Hillary: “Trying to Steal Texas” | Survival,fear
"India's Stonehenge: 7,000-Year-Old Megalithic Site is Oldest Observatory in South Asia",neutral
Top US General Pleads With Troops Not To Revolt Over 2016,sadness
Why Director Comey jumped at the chance to reopen Hillary investigation,fear
BLOOMBERG-BACKED PENNSYLVANIA ATTORNEY GENERAL SENTENCED TO 10-23 MONTHS IN PRISON,neutral
Is A Birthday Surprise Coming For Hillary Criminalton? Kim Dotcoms Mysterious Tweet.,surprise
How To Reduce Stress,neutral
The First Space Photo Of Earth - Shot From A Third Reich Rocket In 1946,neutral
"Russia, India will expand military cooperation with focus on Navy projects | Russia & India Report",neutral
"Make music great again, with these 10 Trumped up album covers",neutral
CNN Talker Famous for Saying 'Pu***' on Air Lashes Out at Newt for Saying Megyn's 'Obsessed with Sex',disgust
Meet The Man Who Started The Illuminati,neutral
Syria’s UN Envoy ‘Appalled’ By Rebel Attacks On Civilians In Aleppo,fear
Collusion Between Facebook and Hillary’s Campaign Revealed in Clinton Emails,neutral
"Report from the Refugee Camp in Calais, France: “the Jungle”",fear
AG Lynch told FBI Director Comey NOT to go public with the new Clinton email investigation,fear
FBI reopens Clinton investigation as new emails found ‒ Comey,fear
Congress Knew For At Least Two Years About Pentagon Efforts To Take Back Bonuses From Veterans,neutral
The Dark Agenda Behind Globalism And Open Borders,neutral
Re: 22 Reasons Why Starting World War 3 In The Middle East Is A Really Bad Idea,fear
"Fifteen years after NATO bombings, Montenegro wants to join NATO",joy
"US charges 61 with India-based scam involving 15,000 victims",neutral
US: Kurdish Troops Will Be Involved in Invading ISIS Capital of Raqqa,fear
Michael Moore Owes Me $4.99,neutral
"A ""Gesture of Thanks"": Turkey arrests terrorists for extradition to Russia",neutral
Jack Heart: LUCIFER in the Temple of the Dog,neutral
Guardian Front Page: “A 16-Year-Old Migrant Cries…”,disgust
Restaurant Chain Tim Hortons Blocks Independent Journalist’s Website on WiFi,neutral
Trump Makes Last-Minute Push To Appeal To Whites - The Onion - America's Finest News Source,neutral
CLINTON CAMPAIGN COOPERATED WITH POLITICO ON ‘DEMYSTIFYING’ HUMA ABEDIN,neutral
Zakharova: Kiev's talk of an armed OSCE mission is disinformation,disgust
Manny Pacquiao's Son Dead? Report Says Jimuel Pacquiao Dies Of Asthm Complications - Morning News USA,sadness
Hillary Clinton's Postapocalyptic Hellscape Plan??,fear
Carmel Institute celebrates 5th anniversary with jazz concert,joy
Trump’s Twitter Access Revoked - The Onion - America's Finest News Source,joy
YouTube censoring videos – on censorship!,anger
"Budgeting the Good War, for 75 Years",neutral
Will the anti-Clinton revolt among American elites gain momentum?,anger
American Funhouse: Manufacturing Consent,neutral
Why Hillary Clinton Will Appoint Old World Nationalists to Cabinet Positions,neutral
A guide to the Paradoxroutine,neutral
AT&T-Time Warner Merger: Another Media Consolidation That Puts Profits Over Consumers,sadness
US Airstrike Kills Four Iraqi Troops Near Mosul,fear
"‘Tolerant’ Liberals Show Nothing But Contempt, Hatred Toward Nation’s Only Black Supreme Court Justice",anger
Armed Dakota Access Contractor Accused Of Trying To Infiltrate Water Protectors,fear
18 State Swat Team Drill In Prep for Backlash Against a Stolen Election,anger
Michael Moore: Joe Blow Will Vote Trump As “Ultimate F–– You to the Elite… A Human Molotov Cocktail”,anger
"More Beer, Less Vodka as Russians Mull Ongoing Crisis - Rustem Falyakhov",fear
Understanding Propaganda - The Art Of Distraction And Disinformation,disgust
Huffington Post Continues Campaigning for Hillary Clinton,neutral
TRUNEWS 10/31/16 Dr. Lance Wallnau | Answered Prayer: The Cabal Crumbles,sadness
A Tea Party Congressman Just Called For Armed Uprising If Trump Loses,neutral
MARKETWATCH LEFTIST: MSM’s “Blatant” Anti Trump Bias May Be Suicidal,fear
"The Left Turns on Bob Dylan for His Pro-Israel Views, Refusal to Acknowledge Nobel Prize",disgust
FACEBOOK Nazi Thought Police editors threaten to quit if Mark Zuckerberg doesn’t ban Donald Trump for hate speech,fear
"Andrew Maguire – Paper Gold Market Trades Jaw-Dropping 6,800 Tonnes In One Day!",surprise
What A Hillary Presidency Would Bring,neutral
This is What Will Happen to Mosul After ISIS is Evicted,neutral
Mall of America to Close for First Time Ever on Thanksgiving,sadness
Former Director Of National Budget Warns That Markets Will Tank After US Election,fear
Delete Your Account – Episode 23: Don’t Get Sick,neutral
"CNN Reach New Low, Call Sheriff Clarke A ‘Terrorist’ After Trump Gave Him The Most Important Job! | EndingFed News Network",fear
(((Smithsonian))) Refuses to Include Judge in Black Museum Because He has Normal People Opinions,neutral
"Syrian War Report – November 7, 2016: Russian Attack Helicopters Swarm in Homs Province | The Vineyard of the Saker",fear
Google And God,neutral
Bernie Sanders Says What The Media Won’t: Trump Is A Gutless Political Coward,disgust
Is it necessary to break the law to improve your standard of living?,anger
Game changer? Trump supporter charged in voter fraud case,anger
We told you so! The Zika virus is harmless,neutral
Sesame Seeds for Knee Osteoarthritis,sadness
Now We Can Finally Get to Work,neutral
Trick-Or-Treaters Get Their Socks Rocked By BADASS Hillary Pumpkin Outside,anger
Amurexit from NAFTA TPP Wall Street and Global Policeman,neutral
Wife of Muslim jihadist who killed and wounded over 100 in Orlando nightclub massacre says she “knew nothing”,fear
Farming Invented Many Times by Many Different Farmers Over A Vast Landscape. @CarlZimmer. @NYTimes. - Russia News Now,fear
Why Comey Reopened the Hillary Investigation,fear
Hillary: Leaked Audio of Her Discussing Rigging an Election in Palestine,disgust
The Intercept Outs Neocon Democrat’s Smear Against Trump as ‘Putin’s Puppet’ - Eric Zuesse,fear
What You’re Not Told: 90% Of American Media Is Controlled By Six Corporations,neutral
"Steve Quayle On Economic Collapse, World War 3 and U S elections",fear
The Militarized Police at Standing Rock is Working for This Man,neutral
Bundy Ranch occupiers acquitted on all counts after challenging the corrupt Bureau of Land Management,anger
The Truth About Atlantis [Video],neutral
Western QLD Drovers Show Solidarity With C.U.B Workers By Only Drinking Sauv Blanc – The Betoota Advocate,neutral
CNBC Just Confirmed Comey Is Abusing His Power To Help Trump,fear
JASON CHAFFETZ EXPOSED HILLARY CLINTON’S PLAN TO BRIBE FBI AGENTS TO LET HER GO,neutral
US Not Ruling Out Daesh Involvement in Afghanistan Offensive,neutral
The United States Is Pre-Positioning “Enemy Assets” In Preparation For A Rigged Election,neutral
Comment on “This is My Second One” — Virginia Cop Caught Bragging About Killing Two Unarmed People by Jamieson,anger
News: Election Night Disaster: John King Tapped His Electoral College Map Too Hard And Fell Headfirst Into A Digital Hellscape,fear
